adm1_name,adm1_pcode,mean,year
Mombasa,KE001,1181.4062906511986,2010
Murang'a,KE021,1322.3462772477812,2010
Nairobi,KE047,953.536356382781,2010
Nandi,KE029,1867.606923359144,2010
Narok,KE033,1109.2864515362817,2010
Nyamira,KE046,1855.0039176324144,2010
Nyandarua,KE018,1333.495934388107,2010
Nyeri,KE019,1227.925738413453,2010
Samburu,KE025,544.4253588809617,2010
Siaya,KE041,1454.3963054431704,2010
Taita Taveta,KE006,517.5246103049163,2010
Tana River,KE004,475.6690438089782,2010
Tharaka-Nithi,KE013,1045.7571457244717,2010
Trans Nzoia,KE026,1555.5825533129664,2010
Turkana,KE023,358.3820976797932,2010
Uasin Gishu,KE027,1488.2351932900003,2010
Vihiga,KE038,2103.0198654159294,2010
Wajir,KE008,280.2604636624601,2010
West Pokot,KE024,998.345963159122,2010
Nakuru,KE032,1249.7690794726768,2010
Baringo,KE030,784.5159828699267,2015
Bomet,KE036,1619.8086845328473,2015
Bungoma,KE039,1779.5833935763233,2015
Busia,KE040,1964.7678920090916,2015
Elgeyo-Marakwet,KE028,1182.0739599947801,2015
Embu,KE014,1178.9408567282596,2015
Garissa,KE007,607.7403223104512,2015
Homa Bay,KE043,1544.953864351029,2015
Isiolo,KE011,391.15862027348294,2015
Kajiado,KE034,669.3853007399996,2015
Kakamega,KE037,1932.9561850345751,2015
Kericho,KE035,1524.0341400212567,2015
Kiambu,KE022,1116.8099696697948,2015
Kilifi,KE003,1193.1624541377314,2015
Kirinyaga,KE020,1344.363480624468,2015
Kisii,KE045,1898.798246118129,2015
Kisumu,KE042,1643.0263568941991,2015
Kitui,KE015,807.1641317859908,2015
Kwale,KE002,1178.1911542696948,2015
Laikipia,KE031,720.8184848018101,2015
Lamu,KE005,960.2148482908764,2015
Machakos,KE016,948.8061314792686,2015
Makueni,KE017,839.8470998530528,2015
Mandera,KE009,360.52854158516334,2015
Marsabit,KE010,358.0639607574344,2015
Meru,KE012,1336.5755080657193,2015
Migori,KE044,1437.449080584372,2015
Mombasa,KE001,1729.981457910653,2015
Murang'a,KE021,1422.273997243627,2015
