adm1_name,adm1_pcode,mean,period
Elgeyo-Marakwet,KE028,0.6657366057690925,recent_2020_2024
Embu,KE014,0.5496603978590461,recent_2020_2024
Garissa,KE007,0.34931926971172034,recent_2020_2024
Homa Bay,KE043,0.44290491483602407,recent_2020_2024
Isiolo,KE011,0.23971087824054707,recent_2020_2024
Kajiado,KE034,0.394410029937456,recent_2020_2024
Kakamega,KE037,0.6642779771800656,recent_2020_2024
Kericho,KE035,0.7222868015706854,recent_2020_2024
Kiambu,KE022,0.6023788935699393,recent_2020_2024
Kilifi,KE003,0.4646416572984893,recent_2020_2024
Kirinyaga,KE020,0.617325663289652,recent_2020_2024
Kisii,KE045,0.7081174636866221,recent_2020_2024
Kisumu,KE042,0.4933787521026668,recent_2020_2024
Kitui,KE015,0.4352562261032416,recent_2020_2024
Kwale,KE002,0.4665217188836231,recent_2020_2024
Laikipia,KE031,0.44114187761952756,recent_2020_2024
Lamu,KE005,0.5974205001385525,recent_2020_2024
Machakos,KE016,0.46861156089068623,recent_2020_2024
Makueni,KE017,0.4815039098785282,recent_2020_2024
Mandera,KE009,0.30315096003114417,recent_2020_2024
Marsabit,KE010,0.19384165496410444,recent_2020_2024
Meru,KE012,0.5285548703871359,recent_2020_2024
Migori,KE044,0.5227503844479807,recent_2020_2024
Mombasa,KE001,0.37570382874368385,recent_2020_2024
Murang'a,KE021,0.6533053051555591,recent_2020_2024
Nairobi,KE047,0.4209808334097718,recent_2020_2024
Nandi,KE029,0.7275475841423764,recent_2020_2024
Narok,KE033,0.5714405057043558,recent_2020_2024
Nyamira,KE046,0.7352214535346951,recent_2020_2024
Nyandarua,KE018,0.6369141722155967,recent_2020_2024
Nyeri,KE019,0.6601764962602623,recent_2020_2024
Samburu,KE025,0.3526802528790304,recent_2020_2024
Siaya,KE041,0.4810990459585033,recent_2020_2024
Taita Taveta,KE006,0.3934871849346254,recent_2020_2024
Tana River,KE004,0.3215449104875095,recent_2020_2024
Tharaka-Nithi,KE013,0.5413303121317716,recent_2020_2024
Trans Nzoia,KE026,0.6222697306948418,recent_2020_2024
Turkana,KE023,0.2591094370870751,recent_2020_2024
Uasin Gishu,KE027,0.5882826880550373,recent_2020_2024
Vihiga,KE038,0.70000951107439,recent_2020_2024
Wajir,KE008,0.25667177411013115,recent_2020_2024
West Pokot,KE024,0.5147204359868254,recent_2020_2024
Nakuru,KE032,0.5696888723519327,recent_2020_2024
